,GEOID,number_of_facilities_in_tract,distance_nearest_facility
272,17031280900,0.0,1147.9700751532293
273,17031660900,0.0,556.8596635205523
274,17031242900,0.0,764.888582866751
275,17031020901,0.0,712.1021141341257
276,17031040900,0.0,2389.7883382382593
277,17031040402,0.0,2969.477049149074
278,17031670500,0.0,1842.5277497456127
279,17031050100,0.0,1904.9411141704186
280,17031831000,0.0,577.6030222266905
281,17031590600,0.0,1053.4218520097156
282,17031062600,0.0,983.1579028182698
283,17031031000,0.0,2972.4835801504364
284,17031280400,6.0,0.0
285,17031310800,0.0,90.98083526786873
286,17031611300,0.0,703.1003481014945
287,17031611800,0.0,1262.380541911843
288,17031711300,0.0,1571.3225134222314
289,17031060100,0.0,2474.2212465436096
290,17031243300,2.0,0.0
291,17031670800,0.0,2482.678502075453
292,17031061500,0.0,2013.6042006783055
293,17031062300,0.0,1870.9816855694576
294,17031030603,0.0,2196.680392916444
295,17031720700,0.0,2576.787483619736
296,17031062900,0.0,1728.0372314476608
297,17031730201,0.0,669.312691709805
298,17031612000,0.0,1093.040677566616
299,17031071100,0.0,1063.3270557389108
300,17031243500,0.0,110.29486642351866
301,17031070200,0.0,1664.9926192871667
302,17031600400,2.0,0.0
303,17031839900,0.0,286.94314722951805
304,17031071300,0.0,1320.5724611790622
305,17031063302,0.0,2656.315289000743
306,17031081800,0.0,221.51189559714024
307,17031491200,0.0,1053.0686862630757
308,17031081000,0.0,645.7977107695124
309,17031841100,0.0,84.3311222686127
310,17031381700,0.0,1353.7331050391604
311,17031400800,0.0,435.3003283664083
312,17031440600,0.0,1081.4043531494608
313,17031420500,0.0,1150.4294715291683
314,17031490800,0.0,733.3183237689025
315,17031440201,0.0,1729.804805499703
316,17031490500,0.0,964.4238647924535
317,17031390400,0.0,2666.30819317959
318,17031410600,0.0,2826.4417619201968
319,17031470100,4.0,0.0
320,17031520600,0.0,820.0298362133163
321,17031100600,0.0,650.8328541911726
322,17031150700,0.0,1387.1562086010472
323,17031150300,0.0,1547.4389848131655
324,17031191200,0.0,177.55044247089785
325,17031251900,0.0,1356.510619662281
326,17031151001,0.0,983.0246120131579
327,17031140500,0.0,1772.6386726645376
328,17031161000,0.0,571.4341239150799
329,17031161300,0.0,439.9713627265389
330,17031292400,0.0,792.2928316849819
331,17031140302,0.0,1583.3808145751482
332,17031220902,0.0,784.6036631664396
333,17031230700,3.0,0.0
334,17031300600,0.0,1422.7457906996192
335,17031301701,0.0,1333.6891757213175
336,17031292200,0.0,1207.6511207872763
337,17031300700,0.0,1319.0861422807761
338,17031300800,0.0,1080.1297779344177
339,17031580300,0.0,796.7182533488572
340,17031630900,0.0,29.65372100843413
341,17031841500,0.0,1766.3462435248914
342,17031230100,0.0,792.3327410435619
343,17031160700,0.0,219.0233675684248
344,17031630400,0.0,182.86205671538534
345,17031240700,0.0,1618.2130121698656
346,17031836700,0.0,1515.8635641161864
347,17031020602,0.0,1129.5860014646073
348,17031040201,0.0,2709.47364674144
349,17031221400,0.0,1355.4941164519814
350,17031291600,0.0,921.3536711336021
351,17031301200,0.0,62.71361170428224
352,17031280800,0.0,1323.159668193958
353,17031630200,4.0,0.0
354,17031835000,0.0,1684.5560271288089
355,17031020500,0.0,176.99185273501166
356,17031830800,0.0,2619.844244504717
357,17031050600,0.0,1325.8486543731003
358,17031242200,0.0,876.4557830970466
359,17031243100,0.0,192.6154651384597
360,17031611400,0.0,564.8164359185914
361,17031670400,0.0,1914.2781485645903
362,17031060200,0.0,2175.7554464550876
363,17031838200,0.0,733.1361845261177
364,17031671200,0.0,1763.3896578621448
365,17031010501,0.0,1047.3670281200773
366,17031010502,0.0,926.778906862776
367,17031031100,0.0,3036.700924732495
368,17031710300,0.0,947.688806882484
369,17031840400,0.0,1303.4737443470294
370,17031832900,0.0,1054.46794670268
371,17031611900,0.0,1080.0559710736122
372,17031031200,0.0,3264.2412497732466
373,17031070400,0.0,1015.8708028571452
374,17031680500,0.0,1911.7385949457796
375,17031600600,0.0,474.6461176364857
376,17031711000,0.0,780.9436120148792
377,17031730202,2.0,0.0
378,17031730700,0.0,2473.956329125405
379,17031071700,0.0,614.0926490472616
380,17031281900,0.0,877.1947262238056
381,17031838300,0.0,134.1683365816067
382,17031680900,0.0,583.5350262188274
383,17031081700,0.0,782.3749369056729
384,17031839000,0.0,1819.0912980712205
385,17031350400,0.0,1258.2464429573197
386,17031491000,0.0,1791.0427367522525
387,17031842000,0.0,982.0654538491771
388,17031835900,0.0,637.7602620546985
389,17031834500,0.0,818.8646547119192
390,17031842500,2.0,0.0
391,17031381200,0.0,1836.3200057931313
392,17031420600,0.0,789.7319893856436
393,17031491400,0.0,539.3247190255945
394,17031421200,0.0,749.3280916416851
395,17031390300,0.0,2388.5243416955377
396,17031440800,0.0,1094.9578276086922
397,17031420300,0.0,1936.7979509825875
398,17031411200,0.0,2534.103674860027
399,17031460302,0.0,3036.50082319398
400,17031100300,0.0,673.9643284575936
401,17031561100,0.0,830.0326125720279
402,17031150800,0.0,556.0351671825396
403,17031640100,0.0,956.5035341228871
404,17031260300,0.0,150.8281743232741
405,17031200200,0.0,1472.798102442789
406,17031200402,0.0,741.5868124664431
407,17031570200,1.0,0.0
408,17031620300,0.0,164.38390711711085
409,17031650301,0.0,890.710512067936
410,17031210502,0.0,1359.4915882050325
411,17031220702,0.0,1423.3589120695344
412,17031838700,0.0,555.6398522534802
413,17031270500,0.0,827.2247094751507
414,17031301600,0.0,910.3961437997106
415,17031160501,0.0,1226.3321378420092
416,17031220601,0.0,1197.8293796020484
417,17031271300,0.0,1620.4887292387243
418,17031843000,2.0,0.0
419,17031630300,0.0,326.9663643538894
420,17031660400,0.0,48.4854760723102
421,17031220500,0.0,1316.1055253219292
422,17031271200,0.0,2010.2482171383413
423,17031837300,0.0,1763.5322242314637
424,17031210700,0.0,744.6873936264946
425,17031580502,0.0,740.2046743377193
426,17031160602,0.0,891.1899478864573
427,17031661100,1.0,0.0
428,17031837400,0.0,1697.6409937072378
429,17031242600,0.0,1824.1366403561854
430,17031840700,0.0,385.8285831341519
431,17031843500,5.0,0.0
432,17031221500,0.0,1202.5306131341288
433,17031242800,0.0,1167.0930448341712
434,17031051000,0.0,283.6191514801661
435,17031843700,6.0,0.0
436,17031020400,0.0,444.24830280103043
437,17031050200,0.0,1574.9701871970037
438,17031841300,2.0,0.0
439,17031243000,0.0,378.84290614719777
440,17031837800,0.0,326.2700089683033
441,17031838000,0.0,723.7917747913049
442,17031020902,0.0,492.00054894717493
443,17031040100,0.0,1310.754110027881
444,17031671400,0.0,1070.3893812208516
445,17031611700,0.0,1141.5826548786397
446,17031670600,0.0,2303.9708402174524
447,17031070700,0.0,412.2507756689876
448,17031241400,0.0,966.8730111904842
449,17031060400,0.0,1905.4627165300894
450,17031242000,0.0,736.2743868480013
451,17031070500,0.0,816.0097083151715
452,17031283200,0.0,888.7352533212288
453,17031720200,0.0,1807.6724932327984
454,17031834900,0.0,1493.3605556064078
455,17031062200,0.0,2270.7058398083313
456,17031310500,0.0,299.4340868603655
457,17031833300,0.0,1092.4495142122278
458,17031061000,0.0,2932.2107627201594
459,17031612100,0.0,1226.2485086562135
460,17031071200,0.0,1242.4013489870897
461,17031071800,0.0,424.8363809043572
462,17031730400,0.0,860.6415482001447
463,17031310200,0.0,174.87845093153487
464,17031710900,1.0,0.0
465,17031730500,0.0,869.5718426677904
466,17031340600,0.0,79.26127808648522
467,17031081600,0.0,1156.6620618354489
468,17031380500,0.0,391.57987703297914
469,17031690300,0.0,421.15993511786365
470,17031400500,0.0,1271.4074270372378
471,17031530100,0.0,405.77035706527624
472,17031351100,0.0,1461.5789968794338
473,17031836000,0.0,1559.0851291502893
474,17031490902,0.0,734.7371278292535
475,17031420700,0.0,649.5366776329016
476,17031690900,0.0,1361.3442103520624
477,17031410500,0.0,2568.3147862604555
478,17031691500,0.0,2498.1676398875466
479,17031410200,0.0,3591.502205553764
480,17031410700,0.0,3110.260336231257
481,17031834300,0.0,1138.6424193214077
482,17031500100,0.0,0.04763549013948747
483,17031431200,0.0,3051.9117677027043
484,17031460600,0.0,2377.703754303676
485,17031480500,0.0,2063.246136089593
486,17031150402,0.0,2325.3332733969337
487,17031150600,0.0,2219.0417279560415
488,17031251200,0.0,1077.9396669818343
489,17031110100,1.0,0.0
490,17031250800,0.0,413.65166697664375
491,17031191100,0.0,207.22871326255736
492,17031190900,0.0,1303.0251534006343
493,17031191000,0.0,425.97125509998864
494,17031560400,0.0,128.30181965124416
495,17031161200,0.0,150.08241961934337
496,17031200401,0.0,896.6269860334368
497,17031160200,0.0,675.5479974920389
498,17031260700,0.0,601.2997083268043
499,17031261000,0.0,125.49948292178874
500,17031570500,0.0,162.2538140723815
501,17031831200,0.0,498.9956007490511
502,17031222900,0.0,37.25072456147403
503,17031222800,1.0,0.0
504,17031230800,0.0,455.9017704490945
505,17031231100,0.0,961.6164406091226
506,17031140200,0.0,2131.8891512944083
507,17031140701,0.0,2137.680532169804
508,17031160502,0.0,866.1910292163034
509,17031222700,0.0,236.66875912837048
510,17031230900,0.0,480.09738040348395
511,17031840800,0.0,505.21942543922836
512,17031221200,0.0,870.6607190606225
513,17031300900,0.0,941.6742650220655
514,17031160601,0.0,1294.5341021883937
515,17031240800,0.0,1204.9530177038896
516,17031630800,0.0,857.8207762922309
517,17031020802,0.0,1234.0683555347841
518,17031282700,0.0,1513.888967591606
519,17031660600,0.0,1190.7854875442572
520,17031222200,0.0,1197.3983434191327
521,17031630100,0.0,583.8289876927275
522,17031051300,0.0,586.2196525677195
523,17031062500,0.0,1102.1093929002811
524,17031030900,0.0,2148.921741316841
525,17031670300,0.0,2014.4599199538964
526,17031831900,0.0,1328.1019400765451
527,17031671500,0.0,659.5408605211725
528,17031832300,3.0,0.0
529,17031711200,0.0,1607.8064680360305
530,17031730300,0.0,1523.2044790111063
531,17031671600,0.0,1139.3996159582114
532,17031062800,0.0,1619.8755471633376
533,17031710600,0.0,1362.2274644121505
534,17031830700,0.0,2895.247680190226
535,17031670100,0.0,1903.9659480711462
536,17031030702,0.0,2939.2011225923225
537,17031310400,0.0,279.77101594005535
538,17031031501,0.0,4186.862252122023
539,17031832000,0.0,2472.216715276197
540,17031063000,0.0,1920.0772181142818
541,17031833000,6.0,0.0
542,17031611000,0.0,455.2630097955264
543,17031681000,0.0,1821.760496995916
544,17031061800,0.0,3228.747421133666
545,17031063100,0.0,2493.412187608637
546,17031063400,0.0,2173.207955549895
547,17031711400,0.0,20.704271135031334
548,17031842200,5.0,0.0
549,17031750100,0.0,1647.6652112401773
550,17031840200,0.0,0.07468516562714383
551,17031834800,0.0,1517.9110644486855
552,17031834700,0.0,1898.3029686191603
553,17031610800,0.0,474.2250117362274
554,17031840000,0.0,77.40736578108967
555,17031730100,0.0,131.53246820074688
556,17031835500,4.0,0.0
557,17031080202,0.0,756.2555005685228
558,17031835600,0.0,1280.9079858629636
559,17031490600,0.0,1286.1977373526709
560,17031530200,0.0,663.4628191227996
561,17031835800,0.0,1190.7506237429152
562,17031360200,0.0,1809.0776910171542
563,17031690500,0.0,749.3280916416851
564,17031440700,0.0,1429.17040873173
565,17031390200,0.0,2793.7387326402745
566,17031390500,0.0,3035.3601816653163
567,17031430400,0.0,2737.0152178627745
568,17031480200,0.0,725.9368973483511
569,17031430500,0.0,3324.5891383140756
570,17031834200,0.0,2820.490040950938
571,17031431302,0.0,3809.8415538611007
572,17031520300,0.0,868.697604997427
573,17031100100,0.0,185.1246752780684
574,17031150502,0.0,2323.9973631335997
575,17031170200,0.0,3043.2814875940694
576,17031190601,0.0,978.6210549227058
577,17031110400,0.0,233.4988220957595
578,17031190300,0.0,1568.8147655503667
579,17031110502,0.0,991.9582824634156
580,17031150200,0.0,877.6647845649529
581,17031190800,0.0,1240.7529011693634
582,17031251000,0.0,35.56164049302459
583,17031260400,1.0,0.0
584,17031200100,0.0,975.4269415497398
585,17031260600,0.0,616.0723078502584
586,17031200300,0.0,1303.3594693428079
587,17031260200,2.0,0.0
588,17031570300,1.0,0.0
589,17031260900,0.0,516.1743582141149
590,17031140301,0.0,2210.477335722889
591,17031220701,0.0,1198.7426542459648
592,17031301702,0.0,1191.4378405206414
593,17031650400,0.0,114.55001276676279
594,17031271500,0.0,1354.6779726788966
595,17031831100,1.0,0.0
596,17031580400,0.0,451.3008768360323
597,17031836900,0.0,1554.5772376590326
598,17031140800,0.0,1701.5165439543246
599,17031580501,0.0,1206.489281923641
